No PTT port
decay = 1.444046e-05
samples per bit = 40.000
Filter for de-emphasis of 3dB is not availabe, using 6dB
Available filter length 40
Available filter length 80
Filter length 32 not supported, using length 80
Callsign in test packet is: kk6bqj
Trying to decode packets from <./audio/nonOfficialRecordings/ot3testwnoise4800Mono1Packet.wav>
Audio rate is 48000, 1 channels, 2 bytes per frame, 16 bits per sample
13192 1 -Switched Freq from f_1200 to: f_2200
13230 1 -Switched Freq from f_2200 to: f_1200
13275 1 -Switched Freq from f_1200 to: f_2200
13344 2 -Switched Freq from f_2200 to: f_1200
13392 1 -Switched Freq from f_1200 to: f_2200
13431 1 -Switched Freq from f_2200 to: f_1200
13476 1 -Switched Freq from f_1200 to: f_2200
13592 3 -Switched Freq from f_2200 to: f_1200
13704 3 -Switched Freq from f_1200 to: f_2200
13805 3 -Switched Freq from f_2200 to: f_1200
13831 1 -Switched Freq from f_1200 to: f_2200
13872 1 -Switched Freq from f_2200 to: f_1200
13904 1 -Switched Freq from f_1200 to: f_2200
14030 3 -Switched Freq from f_2200 to: f_1200
14063 1 -Switched Freq from f_1200 to: f_2200
14144 2 -Switched Freq from f_2200 to: f_1200
14350 5 -Switched Freq from f_1200 to: f_2200
14436 2 -Switched Freq from f_2200 to: f_1200
14468 1 -Switched Freq from f_1200 to: f_2200
14672 5 -Switched Freq from f_2200 to: f_1200
14703 1 -Switched Freq from f_1200 to: f_2200
14756 1 -Switched Freq from f_2200 to: f_1200
14788 1 -Switched Freq from f_1200 to: f_2200
14826 1 -Switched Freq from f_2200 to: f_1200
14872 1 -Switched Freq from f_1200 to: f_2200
14956 2 -Switched Freq from f_2200 to: f_1200
14988 1 -Switched Freq from f_1200 to: f_2200
15043 1 -Switched Freq from f_2200 to: f_1200
15072 1 -Switched Freq from f_1200 to: f_2200
15158 2 -Switched Freq from f_2200 to: f_1200
15188 1 -Switched Freq from f_1200 to: f_2200
15298 3 -Switched Freq from f_2200 to: f_1200
15508 5 -Switched Freq from f_1200 to: f_2200
15637 3 -Switched Freq from f_2200 to: f_1200
15788 4 -Switched Freq from f_1200 to: f_2200
15842 1 -Switched Freq from f_2200 to: f_1200
15950 3 -Switched Freq from f_1200 to: f_2200
15988 1 -Switched Freq from f_2200 to: f_1200
16023 1 -Switched Freq from f_1200 to: f_2200
16090 2 -Switched Freq from f_2200 to: f_1200
16099 0 -Switched Freq from f_1200 to: f_2200
16148 1 -Switched Freq from f_2200 to: f_1200
16193 1 -Switched Freq from f_1200 to: f_2200
16234 1 -Switched Freq from f_2200 to: f_1200
16266 1 -Switched Freq from f_1200 to: f_2200
16322 1 -Switched Freq from f_2200 to: f_1200
16349 1 -Switched Freq from f_1200 to: f_2200
16389 1 -Switched Freq from f_2200 to: f_1200
16513 3 -Switched Freq from f_1200 to: f_2200
16629 3 -Switched Freq from f_2200 to: f_1200
16912 7 -Switched Freq from f_1200 to: f_2200
16956 1 -Switched Freq from f_2200 to: f_1200
17225 7 -Switched Freq from f_1200 to: f_2200
17262 1 -Switched Freq from f_2200 to: f_1200
17549 7 -Switched Freq from f_1200 to: f_2200
17587 1 -Switched Freq from f_2200 to: f_1200
17860 7 -Switched Freq from f_1200 to: f_2200
17915 1 -Switched Freq from f_2200 to: f_1200
18186 7 -Switched Freq from f_1200 to: f_2200
18241 1 -Switched Freq from f_2200 to: f_1200
18508 7 -Switched Freq from f_1200 to: f_2200
18545 1 -Switched Freq from f_2200 to: f_1200
18832 7 -Switched Freq from f_1200 to: f_2200
18873 1 -Switched Freq from f_2200 to: f_1200
18986 3 -Switched Freq from f_1200 to: f_2200
19038 1 -Switched Freq from f_2200 to: f_1200
19069 1 -Switched Freq from f_1200 to: f_2200
19105 1 -Switched Freq from f_2200 to: f_1200
19192 2 -Switched Freq from f_1200 to: f_2200
Created new Packet
19279 2 -Switched Freq from f_2200 to: f_1200
19309 1 -Switched Freq from f_1200 to: f_2200
19344 1 -Switched Freq from f_2200 to: f_1200
19430 2 -Switched Freq from f_1200 to: f_2200
19519 2 -Switched Freq from f_2200 to: f_1200
19547 1 -Switched Freq from f_1200 to: f_2200
19587 1 -Switched Freq from f_2200 to: f_1200
19632 1 -Switched Freq from f_1200 to: f_2200
19673 1 -Switched Freq from f_2200 to: f_1200
19704 1 -Switched Freq from f_1200 to: f_2200
19787 2 -Switched Freq from f_2200 to: f_1200
19831 1 -Switched Freq from f_1200 to: f_2200
19869 1 -Switched Freq from f_2200 to: f_1200
19903 1 -Switched Freq from f_1200 to: f_2200
19959 1 -Switched Freq from f_2200 to: f_1200
19989 1 -Switched Freq from f_1200 to: f_2200
20026 1 -Switched Freq from f_2200 to: f_1200
20112 2 -Switched Freq from f_1200 to: f_2200
20151 1 -Switched Freq from f_2200 to: f_1200
20183 1 -Switched Freq from f_1200 to: f_2200
20238 1 -Switched Freq from f_2200 to: f_1200
20268 1 -Switched Freq from f_1200 to: f_2200
20303 1 -Switched Freq from f_2200 to: f_1200
20351 1 -Switched Freq from f_1200 to: f_2200
20437 2 -Switched Freq from f_2200 to: f_1200
20469 1 -Switched Freq from f_1200 to: f_2200
20525 1 -Switched Freq from f_2200 to: f_1200
20550 1 -Switched Freq from f_1200 to: f_2200
20591 1 -Switched Freq from f_2200 to: f_1200
20623 1 -Switched Freq from f_1200 to: f_2200
20676 1 -Switched Freq from f_2200 to: f_1200
20748 2 -Switched Freq from f_1200 to: f_2200
20786 1 -Switched Freq from f_2200 to: f_1200
20832 1 -Switched Freq from f_1200 to: f_2200
20870 1 -Switched Freq from f_2200 to: f_1200
20904 1 -Switched Freq from f_1200 to: f_2200
20955 1 -Switched Freq from f_2200 to: f_1200
21106 4 -Switched Freq from f_1200 to: f_2200
21142 1 -Switched Freq from f_2200 to: f_1200
21310 4 -Switched Freq from f_1200 to: f_2200
21348 1 -Switched Freq from f_2200 to: f_1200
21422 2 -Switched Freq from f_1200 to: f_2200
21622 5 -Switched Freq from f_2200 to: f_1200
21670 1 -Switched Freq from f_1200 to: f_2200
21755 2 -Switched Freq from f_2200 to: f_1200
21866 3 -Switched Freq from f_1200 to: f_2200
21905 1 -Switched Freq from f_2200 to: f_1200
21949 1 -Switched Freq from f_1200 to: f_2200
21992 1 -Switched Freq from f_2200 to: f_1200
22073 2 -Switched Freq from f_1200 to: f_2200
22161 2 -Switched Freq from f_2200 to: f_1200
22190 1 -Switched Freq from f_1200 to: f_2200
22228 1 -Switched Freq from f_2200 to: f_1200
22262 1 -Switched Freq from f_1200 to: f_2200
22316 1 -Switched Freq from f_2200 to: f_1200
22387 2 -Switched Freq from f_1200 to: f_2200
22423 1 -Switched Freq from f_2200 to: f_1200
22470 1 -Switched Freq from f_1200 to: f_2200
22585 3 -Switched Freq from f_2200 to: f_1200
22631 1 -Switched Freq from f_1200 to: f_2200
22717 2 -Switched Freq from f_2200 to: f_1200
22746 1 -Switched Freq from f_1200 to: f_2200
22782 1 -Switched Freq from f_2200 to: f_1200
22909 3 -Switched Freq from f_1200 to: f_2200
22951 1 -Switched Freq from f_2200 to: f_1200
23073 3 -Switched Freq from f_1200 to: f_2200
23114 1 -Switched Freq from f_2200 to: f_1200
23146 1 -Switched Freq from f_1200 to: f_2200
23183 1 -Switched Freq from f_2200 to: f_1200
23310 3 -Switched Freq from f_1200 to: f_2200
23422 3 -Switched Freq from f_2200 to: f_1200
23468 1 -Switched Freq from f_1200 to: f_2200
23509 1 -Switched Freq from f_2200 to: f_1200
23553 1 -Switched Freq from f_1200 to: f_2200
23593 1 -Switched Freq from f_2200 to: f_1200
23625 1 -Switched Freq from f_1200 to: f_2200
23682 1 -Switched Freq from f_2200 to: f_1200
23708 1 -Switched Freq from f_1200 to: f_2200
23747 1 -Switched Freq from f_2200 to: f_1200
23793 1 -Switched Freq from f_1200 to: f_2200
23980 5 -Switched Freq from f_2200 to: f_1200
24028 1 -Switched Freq from f_1200 to: f_2200
24066 1 -Switched Freq from f_2200 to: f_1200
24101 1 -Switched Freq from f_1200 to: f_2200
24227 3 -Switched Freq from f_2200 to: f_1200
24273 1 -Switched Freq from f_1200 to: f_2200
24313 1 -Switched Freq from f_2200 to: f_1200
24345 1 -Switched Freq from f_1200 to: f_2200
24401 1 -Switched Freq from f_2200 to: f_1200
24429 1 -Switched Freq from f_1200 to: f_2200
24541 3 -Switched Freq from f_2200 to: f_1200
24589 1 -Switched Freq from f_1200 to: f_2200
24674 2 -Switched Freq from f_2200 to: f_1200
24705 1 -Switched Freq from f_1200 to: f_2200
24762 1 -Switched Freq from f_2200 to: f_1200
24868 3 -Switched Freq from f_1200 to: f_2200
24909 1 -Switched Freq from f_2200 to: f_1200
24953 1 -Switched Freq from f_1200 to: f_2200
24992 1 -Switched Freq from f_2200 to: f_1200
25066 2 -Switched Freq from f_1200 to: f_2200
25194 3 -Switched Freq from f_2200 to: f_1200
25223 1 -Switched Freq from f_1200 to: f_2200
25305 2 -Switched Freq from f_2200 to: f_1200
25353 1 -Switched Freq from f_1200 to: f_2200
25516 4 -Switched Freq from f_2200 to: f_1200
25545 1 -Switched Freq from f_1200 to: f_2200
25580 1 -Switched Freq from f_2200 to: f_1200
25627 1 -Switched Freq from f_1200 to: f_2200
25713 2 -Switched Freq from f_2200 to: f_1200
25785 2 -Switched Freq from f_1200 to: f_2200
25866 2 -Switched Freq from f_2200 to: f_1200
25911 1 -Switched Freq from f_1200 to: f_2200
25951 1 -Switched Freq from f_2200 to: f_1200
25984 1 -Switched Freq from f_1200 to: f_2200
26067 2 -Switched Freq from f_2200 to: f_1200
26192 3 -Switched Freq from f_1200 to: f_2200
26225 1 -Switched Freq from f_2200 to: f_1200
26235 0 -Switched Freq from f_1200 to: f_2200
26279 1 -Switched Freq from f_2200 to: f_1200
26348 2 -Switched Freq from f_1200 to: f_2200
26385 1 -Switched Freq from f_2200 to: f_1200
26512 3 -Switched Freq from f_1200 to: f_2200
26552 1 -Switched Freq from f_2200 to: f_1200
26583 1 -Switched Freq from f_1200 to: f_2200
26637 1 -Switched Freq from f_2200 to: f_1200
26668 1 -Switched Freq from f_1200 to: f_2200
26707 1 -Switched Freq from f_2200 to: f_1200
26790 2 -Switched Freq from f_1200 to: f_2200
26833 1 -Switched Freq from f_2200 to: f_1200
26904 2 -Switched Freq from f_1200 to: f_2200
26939 1 -Switched Freq from f_2200 to: f_1200
26987 1 -Switched Freq from f_1200 to: f_2200
27166 4 -Switched Freq from f_2200 to: f_1200
27231 2 -Switched Freq from f_1200 to: f_2200
27320 2 -Switched Freq from f_2200 to: f_1200
27467 4 -Switched Freq from f_1200 to: f_2200
27550 2 -Switched Freq from f_2200 to: f_1200
27583 1 -Switched Freq from f_1200 to: f_2200
27663 2 -Switched Freq from f_2200 to: f_1200
27792 3 -Switched Freq from f_1200 to: f_2200
27904 3 -Switched Freq from f_2200 to: f_1200
27950 1 -Switched Freq from f_1200 to: f_2200
27992 1 -Switched Freq from f_2200 to: f_1200
28103 3 -Switched Freq from f_1200 to: f_2200
28231 3 -Switched Freq from f_2200 to: f_1200
28314 2 -Switched Freq from f_1200 to: f_2200
28430 3 -Switched Freq from f_2200 to: f_1200
28474 1 -Switched Freq from f_1200 to: f_2200
28499 1 -Switched Freq from f_2200 to: f_1200
28547 1 -Switched Freq from f_1200 to: f_2200
28582 1 -Switched Freq from f_2200 to: f_1200
28619 1 -Switched Freq from f_1200 to: f_2200
28719 3 -Switched Freq from f_2200 to: f_1200
28746 1 -Switched Freq from f_1200 to: f_2200
28782 1 -Switched Freq from f_2200 to: f_1200
28869 2 -Switched Freq from f_1200 to: f_2200
28911 1 -Switched Freq from f_2200 to: f_1200
28942 1 -Switched Freq from f_1200 to: f_2200
29068 3 -Switched Freq from f_2200 to: f_1200
29102 1 -Switched Freq from f_1200 to: f_2200
29183 2 -Switched Freq from f_2200 to: f_1200
29229 1 -Switched Freq from f_1200 to: f_2200
29390 4 -Switched Freq from f_2200 to: f_1200
29583 5 -Switched Freq from f_1200 to: f_2200
29707 3 -Switched Freq from f_2200 to: f_1200
29861 4 -Switched Freq from f_1200 to: f_2200
30033 4 -Switched Freq from f_2200 to: f_1200
30066 1 -Switched Freq from f_1200 to: f_2200
30222 4 -Switched Freq from f_2200 to: f_1200
30350 3 -Switched Freq from f_1200 to: f_2200
30390 1 -Switched Freq from f_2200 to: f_1200
30433 1 -Switched Freq from f_1200 to: f_2200
30475 1 -Switched Freq from f_2200 to: f_1200
30505 1 -Switched Freq from f_1200 to: f_2200
30544 1 -Switched Freq from f_2200 to: f_1200
30629 2 -Switched Freq from f_1200 to: f_2200
30667 1 -Switched Freq from f_2200 to: f_1200
30713 1 -Switched Freq from f_1200 to: f_2200
30747 1 -Switched Freq from f_2200 to: f_1200
30756 0 -Switched Freq from f_1200 to: f_2200
30828 2 -Switched Freq from f_2200 to: f_1200
30873 1 -Switched Freq from f_1200 to: f_2200
30990 3 -Switched Freq from f_2200 to: f_1200
31193 5 -Switched Freq from f_1200 to: f_2200
31307 3 -Switched Freq from f_2200 to: f_1200
31353 1 -Switched Freq from f_1200 to: f_2200
31394 1 -Switched Freq from f_2200 to: f_1200
31426 1 -Switched Freq from f_1200 to: f_2200
31630 5 -Switched Freq from f_2200 to: f_1200
31660 1 -Switched Freq from f_1200 to: f_2200
31713 1 -Switched Freq from f_2200 to: f_1200
