No PTT port
decay = 1.444046e-05
samples per bit = 40.000
Filter for de-emphasis of 3dB is not availabe, using 6dB
Available filter length 40
Available filter length 80
Filter length 32 not supported, using length 80
Callsign in test packet is: kk6bqj
Trying to decode packets from <./audio/nonOfficialRecordings/ot3test4800Mono1Packet.wav>
Audio rate is 48000, 1 channels, 2 bytes per frame, 16 bits per sample
12634 2 -Switched Freq from f_1200 to: f_2200
12749 3 -Switched Freq from f_2200 to: f_1200
12834 2 -Switched Freq from f_1200 to: f_2200
12902 2 -Switched Freq from f_2200 to: f_1200
12950 1 -Switched Freq from f_1200 to: f_2200
13062 3 -Switched Freq from f_2200 to: f_1200
13110 1 -Switched Freq from f_1200 to: f_2200
13148 1 -Switched Freq from f_2200 to: f_1200
13194 1 -Switched Freq from f_1200 to: f_2200
13235 1 -Switched Freq from f_2200 to: f_1200
13266 1 -Switched Freq from f_1200 to: f_2200
13348 2 -Switched Freq from f_2200 to: f_1200
13394 1 -Switched Freq from f_1200 to: f_2200
13435 1 -Switched Freq from f_2200 to: f_1200
13466 1 -Switched Freq from f_1200 to: f_2200
13595 3 -Switched Freq from f_2200 to: f_1200
13706 3 -Switched Freq from f_1200 to: f_2200
13788 2 -Switched Freq from f_2200 to: f_1200
13833 1 -Switched Freq from f_1200 to: f_2200
13874 1 -Switched Freq from f_2200 to: f_1200
13906 1 -Switched Freq from f_1200 to: f_2200
14034 3 -Switched Freq from f_2200 to: f_1200
14066 1 -Switched Freq from f_1200 to: f_2200
14147 2 -Switched Freq from f_2200 to: f_1200
14353 5 -Switched Freq from f_1200 to: f_2200
14440 2 -Switched Freq from f_2200 to: f_1200
14469 1 -Switched Freq from f_1200 to: f_2200
14673 5 -Switched Freq from f_2200 to: f_1200
14706 1 -Switched Freq from f_1200 to: f_2200
14760 1 -Switched Freq from f_2200 to: f_1200
14789 1 -Switched Freq from f_1200 to: f_2200
14827 1 -Switched Freq from f_2200 to: f_1200
14873 1 -Switched Freq from f_1200 to: f_2200
14960 2 -Switched Freq from f_2200 to: f_1200
14989 1 -Switched Freq from f_1200 to: f_2200
15026 1 -Switched Freq from f_2200 to: f_1200
15073 1 -Switched Freq from f_1200 to: f_2200
15160 2 -Switched Freq from f_2200 to: f_1200
15189 1 -Switched Freq from f_1200 to: f_2200
15320 3 -Switched Freq from f_2200 to: f_1200
15509 5 -Switched Freq from f_1200 to: f_2200
15639 3 -Switched Freq from f_2200 to: f_1200
15789 4 -Switched Freq from f_1200 to: f_2200
15826 1 -Switched Freq from f_2200 to: f_1200
15952 3 -Switched Freq from f_1200 to: f_2200
